2020-06-04 10:36:57,388 | model_koubei.py | INFO  | 车系：4502 口碑：2241818 数据获取中...
2020-06-04 10:36:57,879 | model_koubei.py | INFO  | 车系：4502 口碑：2202674 数据获取中...
2020-06-04 10:36:58,279 | model_koubei.py | INFO  | 车系：4502 口碑：2231379 数据获取中...
2020-06-04 10:36:58,575 | model_koubei.py | INFO  | 车系：4502 口碑：2218082 数据获取中...
2020-06-04 10:36:58,928 | model_koubei.py | INFO  | 车系：4502 口碑：2217507 数据获取中...
2020-06-04 10:36:59,277 | model_koubei.py | INFO  | 车系：4502 口碑：2190427 数据获取中...
2020-06-04 10:36:59,502 | model_koubei.py | INFO  | 车系：4502 口碑：2190351 数据获取中...
2020-06-04 10:36:59,939 | model_koubei.py | INFO  | 车系：4502 口碑：2176291 数据获取中...
2020-06-04 10:37:00,269 | model_koubei.py | INFO  | 车系：4502 口碑：2095860 数据获取中...
2020-06-04 10:37:00,779 | model_koubei.py | INFO  | 车系：4502 口碑：2090933 数据获取中...
2020-06-04 10:37:01,227 | model_koubei.py | INFO  | 车系：4502 口碑：2037817 数据获取中...
2020-06-04 10:37:01,677 | model_koubei.py | INFO  | 车系：4502 口碑：1845940 数据获取中...
2020-06-04 10:37:02,174 | model_koubei.py | INFO  | 车系：4502 口碑：2012573 数据获取中...
2020-06-04 10:37:02,562 | model_koubei.py | INFO  | 车系：4502 口碑：1953992 数据获取中...
2020-06-04 10:37:02,938 | model_koubei.py | INFO  | 车系：4502 口碑：1940344 数据获取中...
2020-06-04 10:37:03,211 | model_koubei.py | INFO  | 车系：4502 口碑：1936571 数据获取中...
2020-06-04 10:38:04,812 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:38:04.811780
2020-06-04 10:38:04,849 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:38:05,948 | model_koubei.py | INFO  | 1913830 已获取跳过!
2020-06-04 10:38:05,949 | model_koubei.py | INFO  | 1975992 已获取跳过!
2020-06-04 10:38:05,951 | model_koubei.py | INFO  | 1936376 已获取跳过!
2020-06-04 10:38:05,953 | model_koubei.py | INFO  | 1827000 已获取跳过!
2020-06-04 10:38:05,954 | model_koubei.py | INFO  | 2248874 已获取跳过!
2020-06-04 10:38:05,956 | model_koubei.py | INFO  | 2228542 已获取跳过!
2020-06-04 10:38:05,957 | model_koubei.py | INFO  | 2204366 已获取跳过!
2020-06-04 10:38:05,959 | model_koubei.py | INFO  | 2128546 已获取跳过!
2020-06-04 10:38:05,960 | model_koubei.py | INFO  | 2114301 已获取跳过!
2020-06-04 10:38:05,961 | model_koubei.py | INFO  | 2043702 已获取跳过!
2020-06-04 10:38:05,963 | model_koubei.py | INFO  | 1942738 已获取跳过!
2020-06-04 10:38:05,965 | model_koubei.py | INFO  | 车系：4502 口碑：1928060 数据获取中...
2020-06-04 10:38:06,533 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:38:07,263 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:07,264 | model_koubei.py | INFO  | 车系：4502 口碑：1928060 数据保存成功!
2020-06-04 10:38:08,268 | model_koubei.py | INFO  | 车系：4502 口碑：1916638 数据获取中...
2020-06-04 10:38:08,371 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:08,371 | model_koubei.py | INFO  | 车系：4502 口碑：1916638 数据保存成功!
2020-06-04 10:38:09,374 | model_koubei.py | INFO  | 车系：4502 口碑：1906219 数据获取中...
2020-06-04 10:38:09,488 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:09,488 | model_koubei.py | INFO  | 车系：4502 口碑：1906219 数据保存成功!
2020-06-04 10:38:10,495 | model_koubei.py | INFO  | 车系：4502 口碑：1900526 数据获取中...
2020-06-04 10:38:10,623 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:10,623 | model_koubei.py | INFO  | 车系：4502 口碑：1900526 数据保存成功!
2020-06-04 10:38:11,627 | model_koubei.py | INFO  | 车系：4502 口碑：1886384 数据获取中...
2020-06-04 10:38:11,741 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:11,741 | model_koubei.py | INFO  | 车系：4502 口碑：1886384 数据保存成功!
2020-06-04 10:38:12,747 | model_koubei.py | INFO  | 车系：4502 口碑：1881044 数据获取中...
2020-06-04 10:38:12,866 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:12,867 | model_koubei.py | INFO  | 车系：4502 口碑：1881044 数据保存成功!
2020-06-04 10:38:13,881 | model_koubei.py | INFO  | 车系：4502 口碑：2619715 数据获取中...
2020-06-04 10:38:14,308 | model_koubei.py | INFO  | 数据插入失败
2020-06-04 10:38:14,309 | model_koubei.py | INFO  | 车系：4502 口碑：2619715 数据保存成功!
2020-06-04 10:38:15,313 | model_koubei.py | INFO  | 车系：4502 口碑：2594085 数据获取中...
2020-06-04 10:39:38,556 | model_koubei.py | INFO  | 程序开始时间：2020-06-04 10:39:38.555072
2020-06-04 10:39:38,588 | model_koubei.py | INFO  | 车系：4502 口碑数据获取中...
2020-06-04 10:39:39,639 | model_koubei.py | INFO  | 1913830 已获取跳过!
2020-06-04 10:39:39,641 | model_koubei.py | INFO  | 1975992 已获取跳过!
2020-06-04 10:39:39,644 | model_koubei.py | INFO  | 1936376 已获取跳过!
2020-06-04 10:39:39,646 | model_koubei.py | INFO  | 1827000 已获取跳过!
2020-06-04 10:39:39,648 | model_koubei.py | INFO  | 2248874 已获取跳过!
2020-06-04 10:39:39,650 | model_koubei.py | INFO  | 2228542 已获取跳过!
2020-06-04 10:39:39,652 | model_koubei.py | INFO  | 2204366 已获取跳过!
2020-06-04 10:39:39,654 | model_koubei.py | INFO  | 2128546 已获取跳过!
2020-06-04 10:39:39,657 | model_koubei.py | INFO  | 2114301 已获取跳过!
2020-06-04 10:39:39,659 | model_koubei.py | INFO  | 2043702 已获取跳过!
2020-06-04 10:39:39,661 | model_koubei.py | INFO  | 1942738 已获取跳过!
2020-06-04 10:39:39,663 | model_koubei.py | INFO  | 1928060 已获取跳过!
2020-06-04 10:39:39,665 | model_koubei.py | INFO  | 1916638 已获取跳过!
2020-06-04 10:39:39,667 | model_koubei.py | INFO  | 1906219 已获取跳过!
2020-06-04 10:39:39,669 | model_koubei.py | INFO  | 1900526 已获取跳过!
2020-06-04 10:39:39,671 | model_koubei.py | INFO  | 1886384 已获取跳过!
2020-06-04 10:39:39,673 | model_koubei.py | INFO  | 1881044 已获取跳过!
2020-06-04 10:39:39,676 | model_koubei.py | INFO  | 2619715 已获取跳过!
2020-06-04 10:39:39,679 | model_koubei.py | INFO  | 车系：4502 口碑：2594085 数据获取中...
2020-06-04 10:39:40,250 | model_koubei.py | INFO  | 车系：4502车型口碑ID列表获取完成。
2020-06-04 10:39:40,726 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:40,726 | model_koubei.py | INFO  | 车系：4502 口碑：2594085 数据保存成功!
2020-06-04 10:39:41,729 | model_koubei.py | INFO  | 车系：4502 口碑：2173874 数据获取中...
2020-06-04 10:39:42,027 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:42,028 | model_koubei.py | INFO  | 车系：4502 口碑：2173874 数据保存成功!
2020-06-04 10:39:43,035 | model_koubei.py | INFO  | 车系：4502 口碑：2254636 数据获取中...
2020-06-04 10:39:43,500 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:43,502 | model_koubei.py | INFO  | 车系：4502 口碑：2254636 数据保存成功!
2020-06-04 10:39:44,512 | model_koubei.py | INFO  | 车系：4502 口碑：2254455 数据获取中...
2020-06-04 10:39:44,786 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:44,787 | model_koubei.py | INFO  | 车系：4502 口碑：2254455 数据保存成功!
2020-06-04 10:39:45,791 | model_koubei.py | INFO  | 车系：4502 口碑：2241818 数据获取中...
2020-06-04 10:39:46,119 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:46,119 | model_koubei.py | INFO  | 车系：4502 口碑：2241818 数据保存成功!
2020-06-04 10:39:47,122 | model_koubei.py | INFO  | 车系：4502 口碑：2202674 数据获取中...
2020-06-04 10:39:47,360 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:47,360 | model_koubei.py | INFO  | 车系：4502 口碑：2202674 数据保存成功!
2020-06-04 10:39:48,364 | model_koubei.py | INFO  | 车系：4502 口碑：2231379 数据获取中...
2020-06-04 10:39:48,647 | model_koubei.py | INFO  | 成功插入：1条数据
2020-06-04 10:39:48,648 | model_koubei.py | INFO  | 车系：4502 口碑：2231379 数据保存成功!
2020-06-04 10:39:49,653 | model_koubei.py | INFO  | 车系：4502 口碑：2218082 数据获取中...
2020-06-04 10:39:50,035 | model_koubei.py | INFO  | 成功插入：1条数据
