2020-06-09 09:28:07,484 | model_koubei.py | INFO  | 程序开始时间：2020-06-09 09:28:07.481262
2020-06-09 09:28:20,398 | model_koubei.py | INFO  | 3170 奥迪A3口碑数据获取中...
2020-06-09 09:28:27,957 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3045450 数据获取中...
2020-06-09 09:28:28,490 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3045450 数据保存成功!
2020-06-09 09:28:28,491 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3032375 数据获取中...
2020-06-09 09:28:29,191 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3032375 数据保存成功!
2020-06-09 09:28:29,191 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2935676 数据获取中...
2020-06-09 09:28:29,800 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2935676 数据保存成功!
2020-06-09 09:28:29,800 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3068741 数据获取中...
2020-06-09 09:28:30,343 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3068741 数据保存成功!
2020-06-09 09:28:30,343 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2935454 数据获取中...
2020-06-09 09:28:30,911 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2935454 数据保存成功!
2020-06-09 09:28:30,914 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2875204 数据获取中...
2020-06-09 09:28:31,547 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2875204 数据保存成功!
2020-06-09 09:28:31,548 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2872366 数据获取中...
2020-06-09 09:28:32,052 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2872366 数据保存成功!
2020-06-09 09:28:32,052 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2870760 数据获取中...
2020-06-09 09:28:32,507 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2870760 数据保存成功!
2020-06-09 09:28:32,508 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2866634 数据获取中...
2020-06-09 09:28:33,058 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2866634 数据保存成功!
2020-06-09 09:28:33,058 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2865985 数据获取中...
2020-06-09 09:28:33,782 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2865985 数据保存成功!
2020-06-09 09:28:33,783 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2865317 数据获取中...
2020-06-09 09:28:34,361 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2865317 数据保存成功!
2020-06-09 09:28:34,362 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2851967 数据获取中...
2020-06-09 09:28:34,893 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2851967 数据保存成功!
2020-06-09 09:28:34,893 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2828734 数据获取中...
2020-06-09 09:28:35,444 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2828734 数据保存成功!
2020-06-09 09:28:35,445 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2828594 数据获取中...
2020-06-09 09:28:35,975 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2828594 数据保存成功!
2020-06-09 09:28:35,975 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3085546 数据获取中...
2020-06-09 09:28:36,611 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3085546 数据保存成功!
2020-06-09 09:28:36,612 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3029074 数据获取中...
2020-06-09 09:28:37,192 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3029074 数据保存成功!
2020-06-09 09:28:37,193 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3023763 数据获取中...
2020-06-09 09:28:37,624 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3023763 数据保存成功!
2020-06-09 09:28:37,624 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2997606 数据获取中...
2020-06-09 09:28:38,020 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2997606 数据保存成功!
2020-06-09 09:28:38,020 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2956950 数据获取中...
2020-06-09 09:28:38,464 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2956950 数据保存成功!
2020-06-09 09:28:38,464 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2931763 数据获取中...
2020-06-09 09:28:38,942 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2931763 数据保存成功!
2020-06-09 09:28:38,943 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3071034 数据获取中...
2020-06-09 09:28:39,461 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3071034 数据保存成功!
2020-06-09 09:28:39,461 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3052096 数据获取中...
2020-06-09 09:28:39,833 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3052096 数据保存成功!
2020-06-09 09:28:39,833 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3048899 数据获取中...
2020-06-09 09:28:40,469 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3048899 数据保存成功!
2020-06-09 09:28:40,470 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3019460 数据获取中...
2020-06-09 09:28:40,845 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3019460 数据保存成功!
2020-06-09 09:28:40,845 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2893751 数据获取中...
2020-06-09 09:28:41,266 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2893751 数据保存成功!
2020-06-09 09:28:41,266 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3044443 数据获取中...
2020-06-09 09:28:41,570 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3044443 数据保存成功!
2020-06-09 09:28:41,570 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2922929 数据获取中...
2020-06-09 09:28:42,059 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2922929 数据保存成功!
2020-06-09 09:28:42,060 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2941938 数据获取中...
2020-06-09 09:28:42,482 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2941938 数据保存成功!
2020-06-09 09:28:42,483 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2935911 数据获取中...
2020-06-09 09:28:42,879 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2935911 数据保存成功!
2020-06-09 09:28:42,879 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2919562 数据获取中...
2020-06-09 09:28:43,353 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2919562 数据保存成功!
2020-06-09 09:28:43,353 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2885910 数据获取中...
2020-06-09 09:28:43,957 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2885910 数据保存成功!
2020-06-09 09:28:43,957 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2884265 数据获取中...
2020-06-09 09:28:44,456 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2884265 数据保存成功!
2020-06-09 09:28:44,456 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2873863 数据获取中...
2020-06-09 09:28:44,888 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2873863 数据保存成功!
2020-06-09 09:28:44,890 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2873701 数据获取中...
2020-06-09 09:28:45,410 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2873701 数据保存成功!
2020-06-09 09:28:45,410 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2873121 数据获取中...
2020-06-09 09:28:46,104 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2873121 数据保存成功!
2020-06-09 09:28:46,104 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2873109 数据获取中...
2020-06-09 09:28:46,663 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2873109 数据保存成功!
2020-06-09 09:28:46,663 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2871993 数据获取中...
2020-06-09 09:28:47,030 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2871993 数据保存成功!
2020-06-09 09:28:47,030 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2870773 数据获取中...
2020-06-09 09:28:47,770 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2870773 数据保存成功!
2020-06-09 09:28:47,771 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2866642 数据获取中...
2020-06-09 09:28:48,395 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2866642 数据保存成功!
2020-06-09 09:28:48,395 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2865880 数据获取中...
2020-06-09 09:28:48,900 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2865880 数据保存成功!
2020-06-09 09:28:56,356 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2865271 数据获取中...
2020-06-09 09:28:56,970 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2865271 数据保存成功!
2020-06-09 09:28:56,970 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3009071 数据获取中...
2020-06-09 09:28:57,470 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3009071 数据保存成功!
2020-06-09 09:28:57,471 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2899799 数据获取中...
2020-06-09 09:28:57,906 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2899799 数据保存成功!
2020-06-09 09:28:57,910 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2893779 数据获取中...
2020-06-09 09:28:58,424 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2893779 数据保存成功!
2020-06-09 09:28:58,425 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2884929 数据获取中...
2020-06-09 09:28:58,767 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2884929 数据保存成功!
2020-06-09 09:28:58,771 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2872309 数据获取中...
2020-06-09 09:28:59,191 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2872309 数据保存成功!
2020-06-09 09:28:59,191 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2869887 数据获取中...
2020-06-09 09:28:59,835 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2869887 数据保存成功!
2020-06-09 09:28:59,839 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3090141 数据获取中...
2020-06-09 09:29:00,252 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3090141 数据保存成功!
2020-06-09 09:29:00,252 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：3070514 数据获取中...
2020-06-09 09:29:00,666 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：3070514 数据保存成功!
2020-06-09 09:29:00,666 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2422287 数据获取中...
2020-06-09 09:29:01,082 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2422287 数据保存成功!
2020-06-09 09:29:01,083 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2943427 数据获取中...
2020-06-09 09:29:01,471 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2943427 数据保存成功!
2020-06-09 09:29:01,472 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2907675 数据获取中...
2020-06-09 09:29:01,868 | model_koubei.py | INFO  | 3170 奥迪A3 口碑：2907675 数据保存成功!
2020-06-09 09:29:01,871 | model_koubei.py | INFO  | 车系：3170 奥迪A3 口碑：2600404 数据获取中...
