2020-06-10 09:04:16,673 | model_koubei.py | INFO  | 程序开始时间：2020-06-10 09:04:16.664373
2020-06-10 09:04:29,144 | model_koubei.py | INFO  | 3530 中华V3口碑数据获取中...
2020-06-10 09:04:35,907 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2950183 数据获取中...
2020-06-10 09:04:36,694 | model_koubei.py | INFO  | 3530 中华V3 口碑：2950183 数据保存成功!
2020-06-10 09:04:36,695 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2906346 数据获取中...
2020-06-10 09:04:37,077 | model_koubei.py | INFO  | 3530 中华V3 口碑：2906346 数据保存成功!
2020-06-10 09:04:37,078 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2905094 数据获取中...
2020-06-10 09:04:37,859 | model_koubei.py | INFO  | 3530 中华V3 口碑：2905094 数据保存成功!
2020-06-10 09:04:37,860 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2900485 数据获取中...
2020-06-10 09:04:38,487 | model_koubei.py | INFO  | 3530 中华V3 口碑：2900485 数据保存成功!
2020-06-10 09:04:38,487 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2899523 数据获取中...
2020-06-10 09:04:39,037 | model_koubei.py | INFO  | 3530 中华V3 口碑：2899523 数据保存成功!
2020-06-10 09:04:39,037 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2899312 数据获取中...
2020-06-10 09:04:39,656 | model_koubei.py | INFO  | 3530 中华V3 口碑：2899312 数据保存成功!
2020-06-10 09:04:39,656 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2898452 数据获取中...
2020-06-10 09:04:39,988 | model_koubei.py | INFO  | 3530 中华V3 口碑：2898452 数据保存成功!
2020-06-10 09:04:39,989 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2898249 数据获取中...
2020-06-10 09:04:40,584 | model_koubei.py | INFO  | 3530 中华V3 口碑：2898249 数据保存成功!
2020-06-10 09:04:40,585 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2897854 数据获取中...
2020-06-10 09:04:41,020 | model_koubei.py | INFO  | 3530 中华V3 口碑：2897854 数据保存成功!
2020-06-10 09:04:41,021 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2897760 数据获取中...
2020-06-10 09:04:41,520 | model_koubei.py | INFO  | 3530 中华V3 口碑：2897760 数据保存成功!
2020-06-10 09:04:41,520 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2896959 数据获取中...
2020-06-10 09:04:42,108 | model_koubei.py | INFO  | 3530 中华V3 口碑：2896959 数据保存成功!
2020-06-10 09:04:42,109 | model_koubei.py | INFO  | 车系：3530 中华V3 口碑：2892275 数据获取中...
2020-06-10 09:04:42,641 | model_koubei.py | INFO  | 3530 中华V3 口碑：2892275 数据保存成功!
