2020-06-08 12:05:05,285 | model_koubei.py | INFO  | 程序开始时间：2020-06-08 12:05:05.283756
2020-06-08 12:05:09,406 | model_koubei.py | INFO  | 4502 111口碑数据获取中...
2020-06-08 12:05:28,953 | model_koubei.py | INFO  | 车系：4502 111 口碑：1913830 数据获取中...
2020-06-08 12:05:28,953 | model_koubei.py | INFO  | 4502 111 口碑：1913830 数据保存成功!
2020-06-08 12:05:28,954 | model_koubei.py | INFO  | 车系：4502 111 口碑：1975992 数据获取中...
2020-06-08 12:05:28,954 | model_koubei.py | INFO  | 4502 111 口碑：1975992 数据保存成功!
2020-06-08 12:05:28,955 | model_koubei.py | INFO  | 车系：4502 111 口碑：1936376 数据获取中...
2020-06-08 12:05:28,955 | model_koubei.py | INFO  | 4502 111 口碑：1936376 数据保存成功!
2020-06-08 12:05:28,960 | model_koubei.py | INFO  | 车系：4502 111 口碑：1827000 数据获取中...
2020-06-08 12:05:28,961 | model_koubei.py | INFO  | 4502 111 口碑：1827000 数据保存成功!
2020-06-08 12:05:28,963 | model_koubei.py | INFO  | 车系：4502 111 口碑：2248874 数据获取中...
2020-06-08 12:05:28,963 | model_koubei.py | INFO  | 4502 111 口碑：2248874 数据保存成功!
2020-06-08 12:05:28,969 | model_koubei.py | INFO  | 车系：4502 111 口碑：2228542 数据获取中...
2020-06-08 12:05:28,970 | model_koubei.py | INFO  | 4502 111 口碑：2228542 数据保存成功!
2020-06-08 12:05:28,973 | model_koubei.py | INFO  | 车系：4502 111 口碑：2204366 数据获取中...
2020-06-08 12:05:28,973 | model_koubei.py | INFO  | 4502 111 口碑：2204366 数据保存成功!
2020-06-08 12:05:28,978 | model_koubei.py | INFO  | 车系：4502 111 口碑：2128546 数据获取中...
2020-06-08 12:05:28,979 | model_koubei.py | INFO  | 4502 111 口碑：2128546 数据保存成功!
2020-06-08 12:05:28,987 | model_koubei.py | INFO  | 车系：4502 111 口碑：2114301 数据获取中...
2020-06-08 12:05:28,987 | model_koubei.py | INFO  | 4502 111 口碑：2114301 数据保存成功!
2020-06-08 12:05:28,991 | model_koubei.py | INFO  | 车系：4502 111 口碑：2043702 数据获取中...
2020-06-08 12:05:28,992 | model_koubei.py | INFO  | 4502 111 口碑：2043702 数据保存成功!
2020-06-08 12:05:28,995 | model_koubei.py | INFO  | 车系：4502 111 口碑：1942738 数据获取中...
2020-06-08 12:05:28,996 | model_koubei.py | INFO  | 4502 111 口碑：1942738 数据保存成功!
2020-06-08 12:05:29,020 | model_koubei.py | INFO  | 车系：4502 111 口碑：1928060 数据获取中...
2020-06-08 12:05:29,020 | model_koubei.py | INFO  | 4502 111 口碑：1928060 数据保存成功!
2020-06-08 12:05:29,023 | model_koubei.py | INFO  | 车系：4502 111 口碑：1916638 数据获取中...
2020-06-08 12:05:29,024 | model_koubei.py | INFO  | 4502 111 口碑：1916638 数据保存成功!
2020-06-08 12:05:29,028 | model_koubei.py | INFO  | 车系：4502 111 口碑：1906219 数据获取中...
2020-06-08 12:05:29,034 | model_koubei.py | INFO  | 4502 111 口碑：1906219 数据保存成功!
2020-06-08 12:05:29,048 | model_koubei.py | INFO  | 车系：4502 111 口碑：1900526 数据获取中...
2020-06-08 12:05:29,050 | model_koubei.py | INFO  | 4502 111 口碑：1900526 数据保存成功!
2020-06-08 12:05:29,053 | model_koubei.py | INFO  | 车系：4502 111 口碑：1886384 数据获取中...
2020-06-08 12:05:29,054 | model_koubei.py | INFO  | 4502 111 口碑：1886384 数据保存成功!
2020-06-08 12:05:29,059 | model_koubei.py | INFO  | 车系：4502 111 口碑：1881044 数据获取中...
2020-06-08 12:05:29,059 | model_koubei.py | INFO  | 4502 111 口碑：1881044 数据保存成功!
2020-06-08 12:05:29,075 | model_koubei.py | INFO  | 车系：4502 111 口碑：2619715 数据获取中...
2020-06-08 12:05:29,075 | model_koubei.py | INFO  | 4502 111 口碑：2619715 数据保存成功!
2020-06-08 12:05:29,083 | model_koubei.py | INFO  | 车系：4502 111 口碑：2594085 数据获取中...
2020-06-08 12:05:29,083 | model_koubei.py | INFO  | 4502 111 口碑：2594085 数据保存成功!
2020-06-08 12:05:29,088 | model_koubei.py | INFO  | 车系：4502 111 口碑：2173874 数据获取中...
2020-06-08 12:05:29,089 | model_koubei.py | INFO  | 4502 111 口碑：2173874 数据保存成功!
2020-06-08 12:05:29,094 | model_koubei.py | INFO  | 车系：4502 111 口碑：2254636 数据获取中...
2020-06-08 12:05:29,095 | model_koubei.py | INFO  | 4502 111 口碑：2254636 数据保存成功!
2020-06-08 12:05:29,102 | model_koubei.py | INFO  | 车系：4502 111 口碑：2254455 数据获取中...
2020-06-08 12:05:29,102 | model_koubei.py | INFO  | 4502 111 口碑：2254455 数据保存成功!
2020-06-08 12:05:29,117 | model_koubei.py | INFO  | 车系：4502 111 口碑：2241818 数据获取中...
2020-06-08 12:05:29,117 | model_koubei.py | INFO  | 4502 111 口碑：2241818 数据保存成功!
2020-06-08 12:05:29,131 | model_koubei.py | INFO  | 车系：4502 111 口碑：2202674 数据获取中...
2020-06-08 12:05:29,131 | model_koubei.py | INFO  | 4502 111 口碑：2202674 数据保存成功!
